"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 21, 2014","416.3","426.4","440.1","412.1","1.25K","-2.37%"
"Mar 22, 2014","414.4","416.3","419.5","400.5","0.83K","-0.46%"
"Mar 23, 2014","411.8","414.4","417.9","408.2","0.32K","-0.63%"
"Mar 24, 2014","422.6","411.8","430.6","403.9","1.01K","2.62%"
"Mar 25, 2014","422.8","422.6","429.7","415.3","0.78K","0.05%"
"Mar 26, 2014","425.1","422.8","428.4","415.5","0.98K","0.53%"
"Mar 27, 2014","368.7","425.1","426.1","361.2","2.46K","-13.25%"
"Mar 28, 2014","373.0","368.7","394.5","360.3","1.59K","1.17%"
"Mar 29, 2014","364.4","373.0","380.6","363.1","0.55K","-2.33%"
"Mar 30, 2014","339.9","364.4","366.8","323.0","1.61K","-6.72%"
"Mar 31, 2014","335.1","339.9","356.2","323.3","1.04K","-1.40%"
"Apr 01, 2014","357.6","335.1","439.1","331.4","1.78K","6.73%"
"Apr 02, 2014","322.0","357.6","370.0","319.3","2.07K","-9.98%"
"Apr 03, 2014","326.6","322.0","339.2","306.7","1.52K","1.43%"
"Apr 04, 2014","331.4","326.6","338.3","317.7","0.93K","1.49%"
"Apr 05, 2014","336.7","331.4","337.0","325.9","0.42K","1.60%"
"Apr 06, 2014","336.8","336.7","345.1","331.3","0.40K","0.04%"
"Apr 07, 2014","331.8","336.8","338.3","325.2","0.80K","-1.51%"
"Apr 08, 2014","332.2","331.8","338.2","330.1","0.76K","0.15%"
"Apr 09, 2014","325.7","332.2","335.8","325.2","0.95K","-1.96%"
"Apr 10, 2014","276.0","325.7","325.7","271.0","2.92K","-15.28%"
"Apr 11, 2014","306.2","276.0","314.8","252.6","3.10K","10.95%"
"Apr 12, 2014","310.0","306.2","320.0","305.8","0.64K","1.24%"
"Apr 13, 2014","302.8","310.0","311.1","288.6","0.83K","-2.31%"
"Apr 14, 2014","335.3","302.8","338.8","296.0","2.60K","10.73%"
"Apr 15, 2014","376.9","335.3","379.6","311.0","2.99K","12.39%"
"Apr 16, 2014","377.1","376.9","398.9","351.2","2.90K","0.06%"
"Apr 17, 2014","364.3","377.1","381.3","350.1","1.73K","-3.39%"
"Apr 18, 2014","352.1","364.3","366.2","344.6","0.83K","-3.36%"
"Apr 19, 2014","363.2","352.1","365.4","346.0","0.82K","3.16%"
"Apr 20, 2014","363.8","363.2","370.3","353.2","0.34K","0.16%"
"Apr 21, 2014","360.1","363.8","369.3","357.1","0.41K","-1.00%"
"Apr 22, 2014","353.8","360.1","363.3","351.6","0.41K","-1.76%"
"Apr 23, 2014","355.9","353.8","359.5","351.6","0.67K","0.59%"
"Apr 24, 2014","359.3","355.9","360.1","350.6","0.79K","0.97%"
"Apr 25, 2014","337.7","359.3","361.1","315.9","1.96K","-6.01%"
"Apr 26, 2014","332.0","337.7","339.5","327.4","0.78K","-1.71%"
"Apr 27, 2014","319.1","332.0","334.6","317.4","0.63K","-3.87%"
"Apr 28, 2014","319.6","319.1","327.8","307.2","1.22K","0.16%"
"Apr 29, 2014","322.3","319.6","327.4","312.2","1.37K","0.86%"
"Apr 30, 2014","324.5","322.3","327.7","316.6","0.93K","0.68%"
"May 01, 2014","332.4","324.5","334.8","321.5","0.74K","2.42%"
"May 02, 2014","326.4","332.4","332.7","321.5","0.76K","-1.81%"
"May 03, 2014","316.1","326.4","326.9","310.9","0.63K","-3.15%"
